TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Total_Branches,Predicates,LineCoverage,BranchCoverage,OutputCoverage,BranchCoverageBitString,Size,Length,MutationScore
org.jhotdraw.draw.figure.TriangleFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8935893218623481,539,463,36,18,0.9375,0.8269230769230769,0.6973684210526315,1111111111111111111111111111111111010101011001000111,40,138,0.27314814814814814
org.jhotdraw.draw.figure.TextAreaFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.790226791600084,1148,870,86,43,0.8373205741626795,0.6956521739130435,0.4602272727272727,1111111111111111111111111111110000110011111100111111111110101111110001000011000000000001110110110111101111110111010,59,172,0.21365638766519823
org.jhotdraw.draw.figure.RoundRectangleFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9234172919049863,660,577,8,4,0.9659090909090909,0.9285714285714286,0.76,1111111111111111111111011101,43,148,0.25240384615384615
org.jhotdraw.draw.figure.LabeledLineConnectionFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7399702323562102,810,566,84,42,0.8314606741573034,0.6831683168316832,0.288135593220339,00111111111111111010100001011110111111000000111111111011010101001001011111011111110111101111000111110,49,865,0.4380952380952381
org.jhotdraw.draw.figure.EllipseFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9543375782734117,427,389,8,4,1.0,1.0,0.7377049180327869,11111111111111111111,33,157,0.3895582329317269
org.jhotdraw.draw.figure.AbstractFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6808759606148043,1224,715,104,52,0.7389162561576355,0.5422535211267606,0.330188679245283,1110111111111111010111111111111111111101111101011000100000001000000010000000100000001101011110000011010110000000100101101100001011111110101101,67,192,0.20889748549323017
org.jhotdraw.draw.figure.AbstractCompositeFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7083457119438059,1486,954,152,76,0.7547770700636943,0.574585635359116,0.32460732984293195,1111111111111111111111111111101111111111111110100001111111011111000000000000000011010001010000000001000000011100000011111111100000000000000100010111111111111111111111101111000100000,98,335,0.18502202643171806
org.jhotdraw.draw.figure.AbstractAttributedFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5515733447385989,615,252,68,34,0.48360655737704916,0.31645569620253167,0.4931506849315068,1111111011101111000111000010000000000010100110000000000000000000000000000001110,29,98,0.19811320754716982
org.jhotdraw.draw.figure.AbstractAttributedDecoratedFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6893940637598162,257,161,18,9,0.6779661016949152,0.68,0.47761194029850745,1111011101111111000100011,20,58,0.3191489361702128
org.jhotdraw.draw.figure.AbstractAttributedCompositeFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5156782195205855,570,243,74,37,0.46825396825396826,0.30120481927710846,0.423728813559322,00111101101111000001101001000010101011000100101110000000000000000000000000000000010,28,107,0.24539877300613497
org.jhotdraw.draw.figure.QuadTreeCompositeFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.16929945054945056,726,22,116,58,0.04285714285714286,0.03076923076923077,0.0,1111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,21,0.0
org.jhotdraw.draw.figure.TextFigure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8238537015963691,732,508,32,16,0.8524590163934426,0.8709677419354839,0.44711538461538464,11111111111111111111111111111110001011111111101111010111110111,57,154,0.43781094527363185
